text,label
"Món ăn này rất ngon, tôi sẽ quay lại.",1
"Phục vụ quá tệ, không bao giờ quay lại.",0
"Sản phẩm dùng tốt, đáng tiền, tôi rất hài lòng.",1
"Tôi không thích bộ phim này, cốt truyện rời rạc.",0
"Giao hàng nhanh thật, sản phẩm đúng như mô tả.",1
"Một trải nghiệm tồi tệ, tôi đã phải đợi rất lâu.",0
"Nhân viên thân thiện và nhiệt tình.",1
"Giá cả hơi đắt so với chất lượng.",0
"Chất lượng phòng rất tốt, sạch sẽ và tiện nghi.",1
"Tiếng ồn từ bên ngoài làm tôi khó ngủ.",0
"Cà phê ở đây rất đậm đà và thơm ngon.",1
"Hương vị không đặc sắc, khá bình thường.",0
"Tôi rất ấn tượng với cách họ giải quyết vấn đề.",1
"Phản hồi chậm trễ, không chuyên nghiệp.",0
"Cảnh đẹp tuyệt vời, không khí trong lành.",1
"Thời tiết hôm nay quá nóng bức.",0
"Đội ngũ hỗ trợ rất chuyên nghiệp.",1
"Ứng dụng thường xuyên bị lỗi.",0
"Cuốn sách này thực sự rất ý nghĩa.",1
"Nội dung quá dài dòng và khó hiểu.",0
"Chuyến đi rất thú vị, nhiều kỷ niệm đẹp.",1
"Lịch trình dày đặc, không có thời gian nghỉ ngơi.",0
"Âm nhạc rất hay, tôi rất thích.",1
"Chất lượng âm thanh không tốt.",0
"Thiết kế sản phẩm rất hiện đại và tinh tế.",1
"Màu sắc không như mong đợi.",0
"Dịch vụ spa thật thư giãn, rất hài lòng.",1
"Thức ăn nguội khi được phục vụ.",0
"Thầy cô rất tận tâm giảng dạy.",1
"Bài kiểm tra quá khó.",0
"món ăn ngon",1
"đồ ăn ngon",1
"rất ngon",1
"món ăn dở",0
"đồ ăn tệ",0
"không ngon",0
"dịch vụ tốt",1
"dịch vụ kém",0
"rất hài lòng",1
"thất vọng",0
"Hàng đúng mô tả",1
"Shop lừa đảo",0
"Shop tư vấn nhiệt tình",1
"Treo đầu dê bán thịt chó",0
"Đóng gói kỹ",1
"Chất lượng quá kém",0
"Giao siêu nhanh",1
"Giao sai mẫu",0
"Chất lượng vượt giá tiền",1
"Thiếu hàng",0
"Sản phẩm xịn",1
"Đóng gói sơ sài",0
"Rất đáng mua",1
"Hộp nát bét",0
"Vải đẹp",1
"Chờ cả tháng",0
"Thiết kế tinh tế",1
"Vải mỏng dính",0
"Sẽ mua lại",1
"Đường may lỗi",0
"Check code ra hàng real",1
"Mùi hôi khó chịu",0
"Mẫu mã đẹp",1
"Không giống hình",0
"Mặc lên vừa vặn",1
"Trả hàng",0
"Hàng auth 100%",1
"Sp bị trầy xước",0
"Giá hời",1
"Hỗ trợ khách hàng tệ",0
"Được bọc 3 lớp",1
"Nhắn tin không trả lời",0
"Sp y hình",1
"Chất lượng không tương xứng",0
"Cho shop 5 sao",1
"Size bị sai",0
"Ưng ý lắm",1
"Đừng nên mua",0
"Quá hời",1
"Hàng giả",0
"Đồ ăn nêm nếm vừa miệng",1
"Đồ ăn nguội ngắt",0
"Không gian quán ấm cúng",1
"Phục vụ lề mề",0
"Nhân viên nhanh nhẹn",1
"Quán bẩn",0
"Trà sữa ngon",1
"Nhân viên thái độ lồi lõm",0
"Phục vụ chu đáo",1
"Giá cắt cổ",0
"Sạch sẽ",1
"Đồ ăn mặn chát",0
"Giá cả phải chăng",1
"Chờ món mòn mỏi",0
"Quán này là số 1",1
"Không gian ồn ào",0
"Hương vị đặc trưng",1
